,Area(0072-0135),Mean(0072-0135),Min(0072-0135),Max(0072-0135),Area(0338-0243),Mean(0338-0243),Min(0338-0243),Max(0338-0243),Area(0351-0330),Mean(0351-0330),Min(0351-0330),Max(0351-0330),Area(0457-0352),Mean(0457-0352),Min(0457-0352),Max(0457-0352),Area(0454-0435),Mean(0454-0435),Min(0454-0435),Max(0454-0435)
107,1254,123.162,-61.0,759.0,1000,72.862,-43.0,718.0,1101,124.034,-73.0,771.0,846,52.767,-45.0,415.0,1024,52.091,-51.0,450.0
108,1254,115.146,-83.0,821.0,1000,77.592,-55.0,768.0,1101,130.9,-44.0,966.0,846,54.176,-43.0,413.0,1024,50.56,-40.0,388.0
109,1254,116.69,-68.0,693.0,1000,77.472,-50.0,681.0,1101,128.983,-60.0,774.0,846,55.888,-63.0,525.0,1024,51.378,-37.0,375.0
110,1254,110.583,-45.0,610.0,1000,74.234,-49.0,683.0,1101,124.047,-42.0,833.0,846,55.162,-35.0,383.0,1024,47.855,-47.0,384.0
111,1254,116.494,-101.0,802.0,1000,80.42,-50.0,771.0,1101,121.096,-59.0,722.0,846,53.156,-35.0,489.0,1024,49.398,-44.0,504.0
112,1254,118.278,-88.0,687.0,1000,80.704,-51.0,606.0,1101,122.764,-70.0,790.0,846,55.401,-45.0,535.0,1024,50.277,-48.0,398.0
113,1254,121.965,-71.0,983.0,1000,71.991,-61.0,879.0,1101,123.046,-58.0,911.0,846,54.852,-51.0,382.0,1024,51.849,-34.0,415.0
114,1254,118.527,-56.0,746.0,1000,81.461,-67.0,616.0,1101,116.43,-42.0,932.0,846,54.275,-48.0,444.0,1024,51.632,-44.0,383.0
115,1254,122.625,-49.0,684.0,1000,80.324,-49.0,586.0,1101,126.457,-52.0,872.0,846,55.39,-60.0,493.0,1024,53.911,-44.0,353.0
116,1254,117.556,-67.0,726.0,1000,78.118,-44.0,641.0,1101,123.058,-46.0,854.0,846,52.556,-62.0,369.0,1024,52.467,-31.0,395.0
117,1254,118.557,-89.0,737.0,1000,74.793,-44.0,604.0,1101,127.857,-43.0,690.0,846,59.331,-28.0,506.0,1024,57.021,-40.0,389.0
118,1254,118.191,-60.0,712.0,1000,80.629,-46.0,831.0,1101,122.577,-56.0,851.0,846,56.927,-48.0,447.0,1024,55.658,-45.0,425.0
119,1254,117.635,-60.0,900.0,1000,75.55,-44.0,607.0,1101,128.114,-66.0,738.0,846,52.856,-48.0,386.0,1024,56.959,-55.0,405.0
120,1254,114.373,-48.0,759.0,1000,84.21,-70.0,682.0,1101,125.89,-74.0,803.0,846,59.274,-42.0,508.0,1024,62.095,-51.0,428.0
121,1254,112.034,-57.0,656.0,1000,75.257,-48.0,777.0,1101,117.585,-56.0,825.0,846,57.701,-39.0,410.0,1024,50.416,-51.0,477.0
122,1254,122.594,-81.0,766.0,1000,71.206,-59.0,733.0,1101,123.899,-53.0,871.0,846,53.468,-38.0,414.0,1024,55.333,-59.0,412.0
123,1254,115.039,-85.0,692.0,1000,75.08,-43.0,726.0,1101,124.935,-55.0,769.0,846,53.488,-31.0,398.0,1024,60.745,-40.0,381.0
124,1254,116.207,-72.0,745.0,1000,76.241,-40.0,717.0,1101,127.012,-76.0,866.0,846,55.976,-57.0,397.0,1024,54.683,-38.0,389.0
125,1254,118.053,-55.0,741.0,1000,76.867,-52.0,640.0,1101,125.889,-62.0,933.0,846,55.454,-46.0,413.0,1024,59.125,-31.0,416.0
126,1254,116.18,-56.0,999.0,1000,76.261,-57.0,640.0,1101,119.182,-62.0,798.0,846,60.8,-47.0,469.0,1024,52.494,-52.0,473.0
127,1254,118.052,-58.0,792.0,1000,72.784,-43.0,768.0,1101,122.796,-45.0,837.0,846,56.423,-39.0,384.0,1024,50.216,-53.0,573.0
128,1254,118.086,-67.0,638.0,1000,74.168,-54.0,833.0,1101,125.764,-47.0,891.0,846,50.665,-39.0,363.0,1024,53.878,-53.0,494.0
129,1254,108.116,-75.0,828.0,1000,81.289,-46.0,879.0,1101,128.42,-82.0,727.0,846,50.201,-48.0,485.0,1024,53.891,-53.0,441.0
130,1254,109.951,-67.0,940.0,1000,78.345,-44.0,687.0,1101,119.934,-50.0,780.0,846,50.125,-45.0,413.0,1024,49.49,-33.0,517.0
131,1254,116.439,-99.0,881.0,1000,81.473,-43.0,584.0,1101,124.491,-81.0,780.0,846,48.559,-38.0,373.0,1024,52.854,-55.0,379.0
132,1254,117.546,-75.0,752.0,1000,78.5,-36.0,849.0,1101,127.768,-39.0,820.0,846,55.991,-48.0,505.0,1024,54.925,-39.0,414.0
133,1254,114.858,-64.0,736.0,1000,74.752,-47.0,677.0,1101,123.492,-56.0,813.0,846,53.981,-40.0,503.0,1024,56.707,-54.0,397.0
134,1254,115.793,-53.0,942.0,1000,75.824,-46.0,768.0,1101,122.17,-76.0,722.0,846,54.313,-37.0,507.0,1024,59.59,-46.0,484.0
135,1254,120.12,-63.0,805.0,1000,74.704,-57.0,655.0,1101,123.65,-88.0,872.0,846,53.434,-48.0,412.0,1024,56.038,-44.0,444.0
136,1254,122.766,-59.0,648.0,1000,70.783,-54.0,755.0,1101,124.215,-58.0,769.0,846,59.051,-34.0,332.0,1024,62.741,-54.0,478.0
137,1254,116.181,-98.0,793.0,1000,79.143,-52.0,564.0,1101,126.29,-66.0,872.0,846,52.189,-31.0,479.0,1024,56.979,-59.0,388.0
138,1254,123.633,-71.0,785.0,1000,77.17,-46.0,570.0,1101,117.837,-79.0,808.0,846,54.177,-34.0,489.0,1024,51.275,-52.0,397.0
139,1254,118.088,-69.0,722.0,1000,80.883,-68.0,746.0,1101,121.417,-66.0,893.0,846,56.35,-49.0,439.0,1024,55.496,-36.0,407.0
140,1254,120.319,-68.0,891.0,1000,78.14,-65.0,832.0,1101,122.83,-59.0,803.0,846,56.747,-41.0,379.0,1024,55.312,-54.0,374.0
141,1254,120.741,-55.0,722.0,1000,84.01,-83.0,784.0,1101,128.25,-48.0,893.0,846,54.889,-47.0,327.0,1024,53.04,-66.0,589.0
142,1254,118.223,-66.0,710.0,1000,80.086,-51.0,846.0,1101,122.795,-65.0,883.0,846,55.857,-42.0,482.0,1024,50.413,-51.0,414.0
143,1254,125.045,-64.0,813.0,1000,79.486,-56.0,689.0,1101,130.571,-83.0,882.0,846,56.201,-45.0,452.0,1024,53.743,-51.0,468.0
144,1254,116.196,-49.0,707.0,1000,85.476,-61.0,753.0,1101,119.557,-62.0,844.0,846,51.729,-42.0,370.0,1024,52.936,-42.0,393.0
145,1254,117.165,-66.0,664.0,1000,80.136,-75.0,679.0,1101,124.46,-104.0,783.0,846,49.827,-38.0,380.0,1024,53.947,-47.0,411.0
146,1254,119.634,-69.0,734.0,1000,75.349,-67.0,608.0,1101,121.549,-74.0,759.0,846,54.267,-36.0,403.0,1024,56.379,-36.0,436.0
147,1254,118.187,-65.0,747.0,1000,79.683,-80.0,602.0,1101,119.492,-60.0,788.0,846,57.94,-49.0,563.0,1024,58.375,-46.0,445.0
148,1254,121.217,-77.0,722.0,1000,73.026,-54.0,738.0,1101,120.274,-73.0,936.0,846,57.751,-49.0,540.0,1024,56.653,-36.0,398.0
149,1254,116.171,-62.0,696.0,1000,76.219,-53.0,728.0,1101,128.201,-69.0,708.0,846,51.111,-63.0,411.0,1024,55.712,-47.0,556.0
150,1254,113.161,-83.0,692.0,1000,80.667,-48.0,679.0,1101,120.793,-86.0,751.0,846,54.877,-37.0,368.0,1024,51.093,-58.0,382.0
151,1254,116.275,-53.0,668.0,1000,80.796,-51.0,870.0,1101,124.433,-60.0,846.0,846,54.792,-40.0,451.0,1024,53.823,-51.0,410.0
152,1254,119.251,-55.0,882.0,1000,72.578,-40.0,604.0,1101,125.178,-70.0,890.0,846,57.113,-38.0,417.0,1024,52.845,-41.0,460.0
153,1254,118.494,-64.0,844.0,1000,77.418,-62.0,678.0,1101,130.188,-69.0,960.0,846,48.965,-36.0,430.0,1024,51.063,-37.0,376.0
154,1254,117.531,-69.0,712.0,1000,77.402,-41.0,787.0,1101,124.481,-60.0,1010.0,846,51.779,-32.0,384.0,1024,55.989,-48.0,393.0
155,1254,119.534,-63.0,970.0,1000,75.977,-39.0,605.0,1101,130.689,-71.0,748.0,846,55.335,-44.0,427.0,1024,56.76,-41.0,412.0
